"Urząd";"Numer na karcie do głosowania";"Nazwisko i imiona";"Nazwa komitetu";"Skrót nazwy komitetu";"Wiek";"Wykształcenie";"Miejsce zamieszkania";"TERYT m. z.";"Gmina m. z.";"Poparcie";"Przynależność do partii";"Liczba głosów";"Procent głosów";"Czy uzyskał mandat";"Obszar";"TERYT";"Płeć";"Liczba głosów ważnych na wszystkich kandydatów"
"Prezydent Miasta Bolesławiec";1;"MOLAK Łukasz Zygmunt";"KOMITET WYBORCZY WYBORCÓW IMPULS LOKALNY";"KWW IMPULS LOKALNY";41;"wyższe";"Bolesławiec";"020101";"m. Bolesławiec";"";"nie należy do partii politycznej";;;;"m. Bolesławiec";"020101";"Mężczyzna";
"Prezydent Miasta Bolesławiec";2;"PRZYBYLSKI Grzegorz Jacek";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"KKW KOALICJA OBYWATELSKA";41;"wyższe";"Bolesławiec";"020101";"m. Bolesławiec";"";"członek partii politycznej: Platforma Obywatelska RP";;;;"m. Bolesławiec";"020101";"Mężczyzna";
"Prezydent Miasta Bolesławiec";3;"ROMAN Piotr";"KOMITET WYBORCZY WYBORCÓW PIOTRA ROMANA FORUM MIASTA";"KWW PIOTRA ROMANA FORUM MIASTA";61;"wyższe";"Bolesławiec";"020101";"m. Bolesławiec";"";"nie należy do partii politycznej";;;;"m. Bolesławiec";"020101";"Mężczyzna";
"Prezydent Miasta Bolesławiec";4;"SARBAK Dawid Łukasz";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";31;"wyższe";"Bolesławiec";"020101";"m. Bolesławiec";"";"członek partii politycznej: Prawo i Sprawiedliwość";;;;"m. Bolesławiec";"020101";"Mężczyzna";
"Wójt Gminy Bolesławiec";1;"JANIEC Andrzej";"KOMITET WYBORCZY WYBORCÓW - ANDRZEJ JANIEC PO STRONIE MIESZKAŃCÓW";"KWW - ANDRZEJ JANIEC PO STRONIE MIESZKAŃCÓW";32;"wyższe";"Lipiany";"020102";"gm. Bolesławiec";"";"nie należy do partii politycznej";;;;"gm. Bolesławiec";"020102";"Mężczyzna";
"Wójt Gminy Bolesławiec";2;"JAWORSKI Roman Paweł";"KOMITET WYBORCZY WYBORCÓW ROMANA JAWORSKIEGO";"KWW ROMANA JAWORSKIEGO";49;"wyższe";"Kruszyn";"020102";"gm. Bolesławiec";"";"nie należy do partii politycznej";;;;"gm. Bolesławiec";"020102";"Mężczyzna";
"Wójt Gminy Gromadka";1;"KAWKA Ryszard Jan";"KOMITET WYBORCZY WYBORCÓW RYSZARDA KAWKI";"KWW RYSZARDA KAWKI";64;"wyższe";"Różyniec";"020103";"gm. Gromadka";"";"nie należy do partii politycznej";;;;"gm. Gromadka";"020103";"Mężczyzna";
"Wójt Gminy Gromadka";2;"KRÓL Krzysztof Henryk";"KOMITET WYBORCZY WYBORCÓW KRZYSZTOFA KRÓLA";"KWW KRZYSZTOFA KRÓLA";48;"wyższe";"Nowa Kuźnia";"020103";"gm. Gromadka";"";"nie należy do partii politycznej";;;;"gm. Gromadka";"020103";"Mężczyzna";
"Burmistrz Nowogrodźca";1;"GÓRA Krystian Bogdan";"KOMITET WYBORCZY WYBORCÓW KRYSTIAN GÓRA";"KWW KRYSTIAN GÓRA";49;"średnie";"Milików";"020104";"gm. Nowogrodziec";"";"nie należy do partii politycznej";;;;"gm. Nowogrodziec";"020104";"Mężczyzna";
"Burmistrz Nowogrodźca";2;"RELICH Robert Marek";"KOMITET WYBORCZY WYBORCÓW WSPÓŁPRACA I DOŚWIADCZENIE";"KWW WSPÓŁPRACA I DOŚWIADCZENIE";54;"wyższe";"Gierałtów";"020104";"gm. Nowogrodziec";"";"nie należy do partii politycznej";;;;"gm. Nowogrodziec";"020104";"Mężczyzna";
"Burmistrz Nowogrodźca";3;"ŚWIDER Joanna";"KOMITET WYBORCZY WYBORCÓW JOANNY ŚWIDER";"KWW JOANNY ŚWIDER";56;"wyższe";"Nowogrodziec";"020104";"gm. Nowogrodziec";"";"nie należy do partii politycznej";;;;"gm. Nowogrodziec";"020104";"Kobieta";
"Wójt Gminy Osiecznica";1;"BOLECKI Mariusz Witold";"KOMITET WYBORCZY WYBORCÓW MARIUSZA BOLECKIEGO";"KWW MARIUSZA BOLECKIEGO";52;"wyższe";"Świętoszów";"020105";"gm. Osiecznica";"";"nie należy do partii politycznej";;;;"gm. Osiecznica";"020105";"Mężczyzna";
"Wójt Gminy Osiecznica";2;"KOŁODZIEJ Marcin Tomasz";"KOMITET WYBORCZY WYBORCÓW POROZUMIENIE LUDOWO - NARODOWE";"KWW POROZUMIENIE LUDOWO - NARODOWE";40;"wyższe";"Bolesławiec";"020101";"m. Bolesławiec";"";"nie należy do partii politycznej";;;;"gm. Osiecznica";"020105";"Mężczyzna";
"Wójt Gminy Osiecznica";3;"NALAZEK Waldemar Jerzy";"KOMITET WYBORCZY WYBORCÓW NASZA GMINA OSIECZNICA";"KWW NASZA GMINA OSIECZNICA";69;"wyższe";"Osiecznica";"020105";"gm. Osiecznica";"";"nie należy do partii politycznej";;;;"gm. Osiecznica";"020105";"Mężczyzna";
"Wójt Gminy Warta Bolesławiecka";1;"HANISZEWSKI Mirosław Kazimierz";"KOMITET WYBORCZY WYBORCÓW „NASZ CZŁOWIEK-PEWNA PRZYSZŁOŚĆ”";"KWW „NASZ CZŁOWIEK-PEWNA PRZYSZŁOŚĆ”";68;"wyższe";"Raciborowice Dolne";"020106";"gm. Warta Bolesławiecka";"";"nie należy do partii politycznej";;;;"gm. Warta Bolesławiecka";"020106";"Mężczyzna";
"Wójt Gminy Warta Bolesławiecka";2;"WARCHOŁ Michał Edward";"KOMITET WYBORCZY WYBORCÓW „RAZEM DLA MIESZKAŃCÓW”";"KWW „RAZEM DLA MIESZKAŃCÓW”";45;"wyższe";"Raciborowice Górne";"020106";"gm. Warta Bolesławiecka";"";"nie należy do partii politycznej";;;;"gm. Warta Bolesławiecka";"020106";"Mężczyzna";
"Wójt Gminy Warta Bolesławiecka";3;"WIS Aleksander";"KOMITET WYBORCZY WYBORCÓW PROJEKT WARTA 2024";"KWW PROJEKT WARTA 2024";53;"wyższe";"Raciborowice Górne";"020106";"gm. Warta Bolesławiecka";"";"nie należy do partii politycznej";;;;"gm. Warta Bolesławiecka";"020106";"Mężczyzna";
"Burmistrz Miasta Bielawa";1;"BANAŚ Mateusz Zbigniew";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";32;"wyższe";"Bielawa";"020201";"m. Bielawa";"";"nie należy do partii politycznej";;;;"m. Bielawa";"020201";"Mężczyzna";
"Burmistrz Miasta Bielawa";2;"DARASZ Adrian Wiktor";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";33;"wyższe";"Bielawa";"020201";"m. Bielawa";"";"członek partii politycznej: Prawo i Sprawiedliwość";;;;"m. Bielawa";"020201";"Mężczyzna";
"Burmistrz Miasta Bielawa";3;"DYSZEWSKI Andrzej";"KOMITET WYBORCZY WYBORCÓW POROZUMIENIE OBYWATELSKIE DLA BIELAWY";"KWW POROZUMIENIE OBYWATELSKIE DLA BIELAWY";57;"wyższe";"Bielawa";"020201";"m. Bielawa";"";"nie należy do partii politycznej";;;;"m. Bielawa";"020201";"Mężczyzna";
"Burmistrz Miasta Bielawa";4;"HORDYJ Andrzej Ireneusz";"KOMITET WYBORCZY WYBORCÓW ANDRZEJA HORDYJA";"KWW ANDRZEJA HORDYJA";49;"wyższe";"Bielawa";"020201";"m. Bielawa";"";"nie należy do partii politycznej";;;;"m. Bielawa";"020201";"Mężczyzna";
"Burmistrz Miasta Bielawa";5;"SZYGUDZIŃSKA Izabela Andżelika";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"KKW KOALICJA OBYWATELSKA";49;"wyższe";"Bielawa";"020201";"m. Bielawa";"";"nie należy do partii politycznej";;;;"m. Bielawa";"020201";"Kobieta";
"Burmistrz Dzierżoniowa";1;"KRESA Jarosław";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";53;"wyższe";"Dzierżoniów";"020202";"m. Dzierżoniów";"";"członek partii politycznej: Prawo i Sprawiedliwość";;;;"m. Dzierżoniów";"020202";"Mężczyzna";
"Burmistrz Dzierżoniowa";2;"KUCHARSKI Dariusz";"KOMITET WYBORCZY NOWOCZESNY DZIERŻONIÓW DARIUSZA KUCHARSKIEGO";"KW NDZ DARIUSZA KUCHARSKIEGO";55;"wyższe";"Dzierżoniów";"020202";"m. Dzierżoniów";"popierany przez partię polityczną: Platforma Obywatelska RP";"członek partii politycznej: Platforma Obywatelska RP";;;;"m. Dzierżoniów";"020202";"Mężczyzna";
"Burmistrz Dzierżoniowa";3;"RUDNICKI Jarosław Jerzy";"KOMITET WYBORCZY WYBORCÓW DZIERŻONIÓW 2023 JAROSŁAWA RUDNICKIEGO";"KWW DZIERŻONIÓW 2023 JAROSŁAWA RUDNICKIEGO";44;"wyższe";"Dzierżoniów";"020202";"m. Dzierżoniów";"";"nie należy do partii politycznej";;;;"m. Dzierżoniów";"020202";"Mężczyzna";
"Burmistrz Miasta i Gminy Pieszyce";1;"KONIECZNA-ENÖZEL Dorota";"KOMITET WYBORCZY WYBORCÓW DOROTY KONIECZNEJ-ENÖZEL";"KWW DOROTY KONIECZNEJ-ENÖZEL";47;"wyższe";"Kamionki";"020203";"gm. Pieszyce";"";"członek partii politycznej: Platforma Obywatelska RP";;;;"gm. Pieszyce";"020203";"Kobieta";
"Burmistrz Miasta i Gminy Pieszyce";2;"WAGNEROWSKI Artur Olgierd";"KOMITET WYBORCZY WYBORCÓW PIESZYCE MAŁA GMINA DUŻE MOŻLIWOŚCI";"KWW PIESZYCE MAŁA GMINA DUŻE MOŻLIWOŚCI";43;"średnie";"Pieszyce";"020203";"gm. Pieszyce";"";"członek partii politycznej: Polska Jest Jedna";;;;"gm. Pieszyce";"020203";"Mężczyzna";
"Burmistrz Piławy Górnej";1;"CHUDYK Krzysztof";"KOMITET WYBORCZY WYBORCÓW KRZYSZTOFA CHUDYKA";"KWW KRZYSZTOFA CHUDYKA";62;"wyższe";"Piława Górna";"020204";"m. Piława Górna";"";"nie należy do partii politycznej";;;;"m. Piława Górna";"020204";"Mężczyzna";
"Burmistrz Piławy Górnej";2;"GRYGLEWICZ Marek Michał";"KOMITET WYBORCZY WYBORCÓW INICJATYWA DLA PIŁAWY GÓRNEJ";"KWW INICJATYWA DLA PIŁAWY GÓRNEJ";31;"wyższe";"Piława Górna";"020204";"m. Piława Górna";"";"nie należy do partii politycznej";;;;"m. Piława Górna";"020204";"Mężczyzna";
"Wójt Gminy Dzierżoniów";1;"MICHAŁEK Radosław Grzegorz";"KOMITET WYBORCZY WYBORCÓW RADOSŁAWA GRZEGORZA MICHAŁKA";"KWW RADOSŁAWA GRZEGORZA MICHAŁKA";42;"wyższe";"Mościsko";"020205";"gm. Dzierżoniów";"";"nie należy do partii politycznej";;;;"gm. Dzierżoniów";"020205";"Mężczyzna";
"Wójt Gminy Dzierżoniów";2;"PIĘT Marcin";"KOMITET WYBORCZY WYBORCÓW MARCINA PIĘTA DLA GMINY DZIERŻONIÓW";"KWW MARCINA PIĘTA DLA GMINY DZIERŻONIÓW";36;"wyższe";"Włóki";"020205";"gm. Dzierżoniów";"";"członek partii politycznej: Prawo i Sprawiedliwość";;;;"gm. Dzierżoniów";"020205";"Mężczyzna";
"Wójt Gminy Łagiewniki";1;"TYNIEC Jarosław Piotr";"KOMITET WYBORCZY WYBORCÓW JAROSŁAW TYNIEC";"KWW JAROSŁAW TYNIEC";58;"średnie";"Łagiewniki";"020206";"gm. Łagiewniki";"";"nie należy do partii politycznej";;;;"gm. Łagiewniki";"020206";"Mężczyzna";
"Wójt Gminy Łagiewniki";2;"WOLAK Ewelina Anna";"KOMITET WYBORCZY STOWARZYSZENIE „BEZPARTYJNI SAMORZĄDOWCY”";"KW STOWARZYSZENIE „BEZPARTYJNI SAMORZĄDOWCY”";49;"wyższe";"Łagiewniki";"020206";"gm. Łagiewniki";"";"nie należy do partii politycznej";;;;"gm. Łagiewniki";"020206";"Kobieta";
"Burmistrz Miasta i Gminy Niemcza";1;"OSIPOWICZ Andrzej Piotr";"KOMITET WYBORCZY WYBORCÓW ANDRZEJA OSIPOWICZA „WSZYSCY RAZEM”";"KWW ANDRZEJA OSIPOWICZA „WSZYSCY RAZEM”";48;"wyższe";"Niemcza";"020207";"gm. Niemcza";"";"nie należy do partii politycznej";;;;"gm. Niemcza";"020207";"Mężczyzna";
"Burmistrz Miasta i Gminy Niemcza";2;"PAWŁOWSKI Rafał Norbert";"KOMITET WYBORCZY WYBORCÓW NIEMCZA NOWYCH MOŻLIWOŚCI";"KWW NIEMCZA NOWYCH MOŻLIWOŚCI";45;"wyższe";"Wałbrzych";"026501";"m. Wałbrzych";"";"nie należy do partii politycznej";;;;"gm. Niemcza";"020207";"Mężczyzna";
"Burmistrz Miasta i Gminy Niemcza";3;"WĘGŁOWSKI Jarosław";"KOMITET WYBORCZY WYBORCÓW JAROSŁAWA WĘGŁOWSKIEGO";"KWW JAROSŁAWA WĘGŁOWSKIEGO";60;"średnie";"Kietlin";"020207";"gm. Niemcza";"";"członek partii politycznej: Prawo i Sprawiedliwość";;;;"gm. Niemcza";"020207";"Mężczyzna";
"Prezydent Miasta Głogowa";1;"BACZYŃSKA Żaneta";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"KKW KOALICJA OBYWATELSKA";31;"wyższe";"Głogów";"020301";"m. Głogów";"";"członek partii politycznej: Platforma Obywatelska RP";;;;"m. Głogów";"020301";"Kobieta";
"Prezydent Miasta Głogowa";2;"BORYSIEWICZ Adam";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";46;"wyższe";"Głogów";"020301";"m. Głogów";"";"nie należy do partii politycznej";;;;"m. Głogów";"020301";"Mężczyzna";
"Prezydent Miasta Głogowa";3;"ROKASZEWICZ Rafael Ryszard";"KOMITET WYBORCZY WYBORCÓW RAFAELA ROKASZEWICZA";"KWW RAFAELA ROKASZEWICZA";50;"wyższe";"Głogów";"020301";"m. Głogów";"";"członek partii politycznej: Nowa Lewica";;;;"m. Głogów";"020301";"Mężczyzna";
"Prezydent Miasta Głogowa";4;"ZUBOWSKI Wojciech Michał";"KOMITET WYBORCZY WYBORCÓW WOJCIECHA ZUBOWSKIEGO";"KWW WOJCIECHA ZUBOWSKIEGO";44;"wyższe";"Głogów";"020301";"m. Głogów";"";"członek partii politycznej: Prawo i Sprawiedliwość";;;;"m. Głogów";"020301";"Mężczyzna";
"Wójt Gminy Głogów";1;"GNIEWOSZ Marlena";"KOMITET WYBORCZY WYBORCÓW MARLENY GNIEWOSZ";"KWW MARLENY GNIEWOSZ";27;"wyższe";"Grodziec Mały";"020302";"gm. Głogów";"";"nie należy do partii politycznej";;;;"gm. Głogów";"020302";"Kobieta";
"Wójt Gminy Głogów";2;"ZIMNY Bartłomiej Antoni";"KOMITET WYBORCZY WYBORCÓW BARTŁOMIEJA ZIMNEGO WSPÓLNIE W PRZYSZŁOŚĆ";"KWW BARTŁOMIEJA ZIMNEGO WSPÓLNIE W PRZYSZŁOŚĆ";47;"wyższe techniczne";"Borek";"020302";"gm. Głogów";"";"nie należy do partii politycznej";;;;"gm. Głogów";"020302";"Mężczyzna";
"Wójt Gminy Jerzmanowa";1;"BIAŁEK Janeta Maria";"KOMITET WYBORCZY WYBORCÓW - JANETA BIAŁEK";"KWW-JANETA BIAŁEK";52;"wyższe";"Jerzmanowa";"020303";"gm. Jerzmanowa";"";"nie należy do partii politycznej";;;;"gm. Jerzmanowa";"020303";"Kobieta";
"Wójt Gminy Jerzmanowa";2;"KALINOWSKA Marianna Patrycja";"KOMITET WYBORCZY WYBORCÓW NASZA GMINA JERZMANOWA";"KWW NASZA GMINA JERZMANOWA";51;"wyższe";"Smardzów";"020303";"gm. Jerzmanowa";"";"nie należy do partii politycznej";;;;"gm. Jerzmanowa";"020303";"Kobieta";
"Wójt Gminy Jerzmanowa";3;"OBOLEWICZ Anna Katarzyna";"KOMITET WYBORCZY WYBORCÓW ANNY OBOLEWICZ";"KWW ANNY OBOLEWICZ";44;"wyższe";"Jaczów";"020303";"gm. Jerzmanowa";"";"nie należy do partii politycznej";;;;"gm. Jerzmanowa";"020303";"Kobieta";
"Wójt Gminy Kotla";1;"DANIELEWICZ Dorota Iwona";"KOMITET WYBORCZY WYBORCÓW DOROTY DANIELEWICZ";"KWW DOROTY DANIELEWICZ";56;"wyższe";"Kotla";"020304";"gm. Kotla";"";"nie należy do partii politycznej";;;;"gm. Kotla";"020304";"Kobieta";
"Wójt Gminy Kotla";2;"SUCHOCKA-SZPERLIK Kamila Ewelina";"KOMITET WYBORCZY WYBORCÓW NASZA GMINA KOTLA";"KWW NASZA GMINA KOTLA";39;"wyższe";"Kotla";"020304";"gm. Kotla";"";"nie należy do partii politycznej";;;;"gm. Kotla";"020304";"Kobieta";
"Wójt Gminy Pęcław";1;"GORTYCH Krzysztof";"KOMITET WYBORCZY WYBORCÓW KRZYSZTOFA GORTYCH";"KWW KRZYSZTOFA GORTYCH";45;"średnie";"Pęcław";"020305";"gm. Pęcław";"";"nie należy do partii politycznej";;;;"gm. Pęcław";"020305";"Mężczyzna";
"Wójt Gminy Pęcław";2;"JEWNIEWICZ Dorota Zofia";"KOMITET WYBORCZY WYBORCÓW DOROTY JEWNIEWICZ";"KWW DOROTY JEWNIEWICZ";39;"wyższe";"Głogów";"020301";"m. Głogów";"";"nie należy do partii politycznej";;;;"gm. Pęcław";"020305";"Kobieta";
"Wójt Gminy Pęcław";3;"PAPIERZ Mateusz";"KOMITET WYBORCZY WYBORCÓW WSPÓLNIE DLA GMINY PĘCŁAW";"KWW WSPÓLNIE DLA GMINY PĘCŁAW";28;"wyższe";"Pęcław";"020305";"gm. Pęcław";"";"nie należy do partii politycznej";;;;"gm. Pęcław";"020305";"Mężczyzna";
"Wójt Gminy Pęcław";4;"PIETRALCZYK Jacek Ireneusz";"KOMITET WYBORCZY WYBORCÓW PĘCŁAW - GMINA NA NOWO";"KWW PĘCŁAW - GMINA NA NOWO";53;"średnie";"Głogów";"020301";"m. Głogów";"";"nie należy do partii politycznej";;;;"gm. Pęcław";"020305";"Mężczyzna";
"Wójt Gminy Pęcław";5;"ŚWITAJŁO Sławomir";"KOMITET WYBORCZY WYBORCÓW SŁAWOMIR ŚWITAJŁO";"KWW SŁAWOMIR ŚWITAJŁO";39;"wyższe";"Kwielice";"021603";"gm. Grębocice";"";"nie należy do partii politycznej";;;;"gm. Pęcław";"020305";"Mężczyzna";
"Wójt Gminy Żukowice";1;"ARYŻ Grzegorz";"KOMITET WYBORCZY WYBORCÓW GRZEGORZA ARYŻ";"KWW GA";47;"wyższe";"Bukwica";"020306";"gm. Żukowice";"";"nie należy do partii politycznej";;;;"gm. Żukowice";"020306";"Mężczyzna";
"Wójt Gminy Żukowice";2;"WOŁOSZYN Krzysztof Piotr";"KOMITET WYBORCZY WYBORCÓW KRZYSZTOFA WOŁOSZYNA";"KWW KRZYSZTOFA WOŁOSZYNA";46;"wyższe";"Modła";"020303";"gm. Jerzmanowa";"";"nie należy do partii politycznej";;;;"gm. Żukowice";"020306";"Mężczyzna";
"Burmistrz Góry";1;"CHMIEL Adam Adolf";"KOMITET WYBORCZY WYBORCÓW ADAMA CHMIELA";"KWW ADAMA CHMIELA";48;"wyższe";"Góra";"020401";"gm. Góra";"";"nie należy do partii politycznej";;;;"gm. Góra";"020401";"Mężczyzna";
"Burmistrz Góry";2;"ISKRA Piotr Paweł";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"KKW KOALICJA OBYWATELSKA";49;"wyższe";"Góra";"020401";"gm. Góra";"";"członek partii politycznej: Platforma Obywatelska RP";;;;"gm. Góra";"020401";"Mężczyzna";
"Burmistrz Góry";3;"JUSKA Tadeusz Jerzy";"KOMITET WYBORCZY WYBORCÓW TADEUSZA JUSKI";"KWW TADEUSZA JUSKI";55;"wyższe";"Góra";"020401";"gm. Góra";"";"nie należy do partii politycznej";;;;"gm. Góra";"020401";"Mężczyzna";
"Burmistrz Góry";4;"KRZYSZKIEWICZ Irena Teresa";"KOMITET WYBORCZY WYBORCÓW IRENY KRZYSZKIEWICZ";"KWW IRENY KRZYSZKIEWICZ";63;"wyższe";"Czernina Dolna";"020401";"gm. Góra";"";"nie należy do partii politycznej";;;;"gm. Góra";"020401";"Kobieta";
"Wójt Gminy Jemielno";1;"HREBENYK Anna Maria";"KOMITET WYBORCZY WYBORCÓW ANNY HREBENYK";"KWW ANNY HREBENYK";45;"wyższe";"Chorągwice";"020402";"gm. Jemielno";"";"nie należy do partii politycznej";;;;"gm. Jemielno";"020402";"Kobieta";
"Wójt Gminy Jemielno";2;"SIERPOWSKA Anita Agnieszka";"KOMITET WYBORCZY WYBORCÓW ANITY SIERPOWSKIEJ";"KWW ANITY SIERPOWSKIEJ";36;"wyższe";"Łęczyca";"020402";"gm. Jemielno";"";"nie należy do partii politycznej";;;;"gm. Jemielno";"020402";"Kobieta";
"Wójt Gminy Jemielno";3;"UCINEK Jan";"KOMITET WYBORCZY WYBORCÓW JANA UCINKA";"KWW JANA UCINKA";68;"wyższe rolnicze";"Jemielno";"020402";"gm. Jemielno";"";"nie należy do partii politycznej";;;;"gm. Jemielno";"020402";"Mężczyzna";
"Wójt Gminy Niechlów";1;"CZAPLA Karol Krzysztof";"KOMITET WYBORCZY WYBORCÓW KAROLA CZAPLI RAZEM DLA GMINY NIECHLÓW";"KWW KAROLA CZAPLI RAZEM DLA GMINY NIECHLÓW";37;"wyższe";"Klimontów";"020403";"gm. Niechlów";"";"członek partii politycznej: PiS";;;;"gm. Niechlów";"020403";"Mężczyzna";
"Wójt Gminy Niechlów";2;"FRĄCKOWIAK Michał Tomasz";"KOMITET WYBORCZY WYBORCÓW MICHAŁA FRĄCKOWIAKA";"KWW MICHAŁA FRĄCKOWIAKA";44;"wyższe";"Głogów";"020301";"m. Głogów";"";"członek partii politycznej: PiS";;;;"gm. Niechlów";"020403";"Mężczyzna";
"Wójt Gminy Niechlów";3;"KALECKI Bogdan Paweł";"KOMITET WYBORCZY WYBORCÓW BOGDANA KALECKIEGO „DOBRA GMINA”";"KWW BOGDANA KALECKIEGO DOBRA GMINA";50;"wyższe";"Szaszorowice";"020403";"gm. Niechlów";"";"nie należy do partii politycznej";;;;"gm. Niechlów";"020403";"Mężczyzna";
"Wójt Gminy Niechlów";4;"PONA Beata Barbara";"KOMITET WYBORCZY WYBORCÓW BEATY PONA";"KWW BEATY PONA";58;"wyższe";"Szaszorowice";"020403";"gm. Niechlów";"";"nie należy do partii politycznej";;;;"gm. Niechlów";"020403";"Kobieta";
"Wójt Gminy Niechlów";5;"WRÓBLEWSKI Paweł";"KOMITET WYBORCZY WYBORCÓW PAWŁA WRÓBLEWSKIEGO";"KWW PAWŁA WRÓBLEWSKIEGO";53;"wyższe";"Siciny";"020403";"gm. Niechlów";"";"nie należy do partii politycznej";;;;"gm. Niechlów";"020403";"Mężczyzna";
"Burmistrz Wąsosza";1;"KORDIAK Grzegorz Patryk";"KOMITET WYBORCZY WYBORCÓW GRZEGORZA KORDIAKA „LEPSZY WĄSOSZ”";"KWW „LEPSZY WĄSOSZ”";44;"wyższe";"Wąsosz";"020404";"gm. Wąsosz";"";"nie należy do partii politycznej";;;;"gm. Wąsosz";"020404";"Mężczyzna";
"Burmistrz Wąsosza";2;"NIEDŹWIEDŹ Paweł";"KOMITET WYBORCZY WYBORCÓW WSPÓLNIE DLA GMINY WĄSOSZ";"KWW WSPÓLNIE DLA GMINY WĄSOSZ";50;"wyższe";"Wąsosz";"020404";"gm. Wąsosz";"";"nie należy do partii politycznej";;;;"gm. Wąsosz";"020404";"Mężczyzna";
"Burmistrz Miasta Jawora";1;"BERA Emilian Stanisław";"KOMITET WYBORCZY WYBORCÓW EMILIANA BERY RAZEM";"KWW EMILIANA BERY RAZEM";39;"wyższe";"Jawor";"020501";"m. Jawor";"";"członek partii politycznej: Platforma Obywatelska RP";;;;"m. Jawor";"020501";"Mężczyzna";
"Burmistrz Miasta Jawora";2;"BUJAK Artur Sławomir";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";49;"wyższe";"Jawor";"020501";"m. Jawor";"";"nie należy do partii politycznej";;;;"m. Jawor";"020501";"Mężczyzna";
"Burmistrz Miasta Jawora";3;"KUĆ Damian Ryszard";"KOMITET WYBORCZY WYBORCÓW BLIŻEJ MIESZKAŃCÓW";"KWW BLIŻEJ MIESZKAŃCÓW";38;"wyższe";"Jawor";"020501";"m. Jawor";"";"nie należy do partii politycznej";;;;"m. Jawor";"020501";"Mężczyzna";
"Burmistrz Bolkowa";1;"BACZMAŃSKI Paweł Adam";"KOMITET WYBORCZY WYBORCÓW PAWŁA BACZMAŃSKIEGO";"KWW PAWŁA BACZMAŃSKIEGO";42;"wyższe";"Bolków";"020502";"gm. Bolków";"";"nie należy do partii politycznej";;;;"gm. Bolków";"020502";"Mężczyzna";
"Burmistrz Bolkowa";2;"KUCAB Grzegorz Michał";"KOMITET WYBORCZY WYBORCÓW GRZEGORZA KUCABA";"KWW GRZEGORZA KUCABA";44;"wyższe";"Mysłów";"020502";"gm. Bolków";"";"nie należy do partii politycznej";;;;"gm. Bolków";"020502";"Mężczyzna";
"Burmistrz Bolkowa";3;"PUSTUŁA Mirosław Krzysztof";"KOMITET WYBORCZY WYBORCÓW MIROSŁAWA PUSTUŁY";"KWW MIROSŁAWA PUSTUŁY";58;"średnie";"Wolbromek";"020502";"gm. Bolków";"";"nie należy do partii politycznej";;;;"gm. Bolków";"020502";"Mężczyzna";
"Burmistrz Bolkowa";4;"SZEMBERSKA Agnieszka Magdalena";"KOMITET WYBORCZY WYBORCÓW AGNIESZKI SZEMBERSKIEJ";"KWW AGNIESZKI SZEMBERSKIEJ";42;"wyższe administracyjne";"Świny";"020502";"gm. Bolków";"";"nie należy do partii politycznej";;;;"gm. Bolków";"020502";"Kobieta";
"Wójt Gminy Męcinka";1;"BRZOZOWSKI Mirosław Kazimierz";"KOMITET WYBORCZY WYBORCÓW PRZYJAZNA GMINA MĘCINKA";"KWW PRZYJAZNA GMINA MĘCINKA";57;"średnie";"Sichów";"020503";"gm. Męcinka";"";"nie należy do partii politycznej";;;;"gm. Męcinka";"020503";"Mężczyzna";
"Wójt Gminy Mściwojów";1;"FORYŚ Mariusz Damian";"KOMITET WYBORCZY WYBORCÓW GMINA Z PRZYSZŁOŚCIĄ";"KWW GMINA Z PRZYSZŁOŚCIĄ";47;"wyższe";"Targoszyn";"020504";"gm. Mściwojów";"";"nie należy do partii politycznej";;;;"gm. Mściwojów";"020504";"Mężczyzna";
"Wójt Gminy Mściwojów";2;"JANUSZEK Grzegorz Ireneusz";"KOMITET WYBORCZY WYBORCÓW GRZEGORZA JANUSZEK";"KWW GRZEGORZA JANUSZEK";43;"średnie";"Targoszyn";"020504";"gm. Mściwojów";"";"nie należy do partii politycznej";;;;"gm. Mściwojów";"020504";"Mężczyzna";
