"Urząd";"Numer na karcie do głosowania";"Nazwisko i imiona";"Nazwa komitetu";"Skrót nazwy komitetu";"Wiek";"Wykształcenie";"Miejsce zamieszkania";"TERYT m. z.";"Gmina m. z.";"Poparcie";"Przynależność do partii";"Liczba głosów";"Procent głosów";"Czy uzyskał mandat";"Obszar";"TERYT";"Płeć";"Liczba głosów ważnych na wszystkich kandydatów"
"Wójt Gminy Bolesław";1;"FRANCZYK Mateusz Karol";"KOMITET WYBORCZY WYBORCÓW NOWA ENERGIA BOLESŁAWIA";"KWW NOWA ENERGIA BOLESŁAWIA";25;"wyższe";"Jadowniki";"120202";"gm. Brzesko";"";"nie należy do partii politycznej";;;;"gm. Bolesław";"120401";"Mężczyzna";
"Wójt Gminy Bolesław";2;"OLEARCZYK Kazimierz Stanisław";"KOMITET WYBORCZY WYBORCÓW GMINY BOLESŁAW";"KWW GMINY BOLESŁAW";64;"wyższe";"Bolesław";"120401";"gm. Bolesław";"";"członek partii politycznej: Polskie Stronnictwo Ludowe";;;;"gm. Bolesław";"120401";"Mężczyzna";
"Burmistrz Dąbrowy Tarnowskiej";1;"GIZA Andrzej Marcin";"KOMITET WYBORCZY WYBORCÓW ANDRZEJA GIZY POROZUMIENIE SAMORZĄDOWE";"KWW ANDRZEJA GIZY POROZUMIENIE SAMORZĄDOWE";44;"wyższe";"Dąbrowa Tarnowska";"120402";"gm. Dąbrowa Tarnowska";"";"członek partii politycznej: Prawo i Sprawiedliwość";;;;"gm. Dąbrowa Tarnowska";"120402";"Mężczyzna";
"Burmistrz Dąbrowy Tarnowskiej";2;"KACZMARSKI Krzysztof Maciej";"KOMITET WYBORCZY WYBORCÓW NIEZALEŻNI ZIEMI DĄBROWSKIEJ";"KWW NIEZALEŻNI ZIEMI DĄBROWSKIEJ";65;"wyższe";"Dąbrowa Tarnowska";"120402";"gm. Dąbrowa Tarnowska";"";"nie należy do partii politycznej";;;;"gm. Dąbrowa Tarnowska";"120402";"Mężczyzna";
"Burmistrz Dąbrowy Tarnowskiej";3;"PIETRAS Tomasz Cezary";"KOMITET WYBORCZY WYBORCÓW WSPÓLNOTA SAMORZĄDU POWIŚLA DĄBROWSKIEGO";"KWW WSPÓLNOTA SAMORZĄDU POWIŚLA DĄBROWSKIEGO";50;"wyższe";"Dąbrowa Tarnowska";"120402";"gm. Dąbrowa Tarnowska";"";"członek partii politycznej: Platforma Obywatelska RP";;;;"gm. Dąbrowa Tarnowska";"120402";"Mężczyzna";
"Wójt Gminy Gręboszów";1;"GIL Krzysztof Karol";"KOMITET WYBORCZY WYBORCÓW NASZA GMINA GRĘBOSZÓW - KANDYDATA NA WÓJTA KRZYSZTOFA GILA";"KWW NASZA GMINA GRĘBOSZÓW KRZYSZTOFA GILA";30;"średnie";"Hubenice";"120403";"gm. Gręboszów";"";"nie należy do partii politycznej";;;;"gm. Gręboszów";"120403";"Mężczyzna";
"Wójt Gminy Mędrzechów";1;"KORZEC Krzysztof Jerzy";"KOMITET WYBORCZY WYBORCÓW GMINY MĘDRZECHÓW";"KWW GMINY MĘDRZECHÓW";50;"wyższe";"Wólka Grądzka";"120404";"gm. Mędrzechów";"";"nie należy do partii politycznej";;;;"gm. Mędrzechów";"120404";"Mężczyzna";
"Wójt Gminy Mędrzechów";2;"MIAŁKOWSKA Małgorzata Marzena";"KOMITET WYBORCZY WYBORCÓW NASZ MĘDRZECHÓW";"KWW NASZ MĘDRZECHÓW";46;"średnie";"Mędrzechów";"120404";"gm. Mędrzechów";"";"nie należy do partii politycznej";;;;"gm. Mędrzechów";"120404";"Kobieta";
"Wójt Gminy Olesno";1;"BUŁAT Małgorzata Józefa";"KOMITET WYBORCZY WYBORCÓW MAŁGORZATY BUŁAT";"KOMITET WYBORCZY WYBORCÓW MAŁGORZATY BUŁAT";43;"wyższe";"Olesno";"120405";"gm. Olesno";"";"nie należy do partii politycznej";;;;"gm. Olesno";"120405";"Kobieta";
"Wójt Gminy Olesno";2;"MORAWIEC Witold Stanisław";"KOMITET WYBORCZY WYBORCÓW WSPÓLNOTA";"KWW WSPÓLNOTA";60;"wyższe";"Ćwików";"120405";"gm. Olesno";"";"nie należy do partii politycznej";;;;"gm. Olesno";"120405";"Mężczyzna";
"Wójt Gminy Olesno";3;"PANEK Mirosław Stanisław";"KOMITET WYBORCZY WYBORCÓW ZJEDNOCZONA GMINA OLESNO";"KWW ZJEDNOCZONA GMINA OLESNO";45;"wyższe";"Podborze";"120405";"gm. Olesno";"";"nie należy do partii politycznej";;;;"gm. Olesno";"120405";"Mężczyzna";
