"Sejmik";"Nr okręgu";"Nr listy";"Pozycja na liście";"Nazwisko i imiona";"Nazwa komitetu";"Skrót nazwy komitetu";"Wiek";"Miejsce zamieszkania";"TERYT m. z.";"Gmina m. z.";"Poparcie";"Liczba głosów";"Procent głosów oddanych na listę";"Procent głosów oddanych w okręgu";"Czy uzyskał mandat";"Województwo";"TERYT Województwa";"Płeć";"Liczba głosów ważnych oddanych w okręgu"
"Sejmik Województwa Lubuskiego";4;1;6;"CZURA Lech Jan";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";66;"Nowogród Bobrzański";"080905";"gm. Nowogród Bobrzański";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";4;1;7;"FABIŚ Danuta";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";54;"Zielona Góra";"086201";"m. Zielona Góra";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";4;1;8;"AST Jakub Mateusz";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";27;"Zielona Góra";"086201";"m. Zielona Góra";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";4;2;1;"GAWORA Eneasz Jakub";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";42;"Zielona Góra";"086201";"m. Zielona Góra";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";4;2;2;"LADRA-MINDLER Karolina Maria";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";31;"Zielona Góra";"086201";"m. Zielona Góra";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";4;2;3;"WOJCIECHOWSKI Emil Patryk";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";35;"Krosno Odrzańskie";"080206";"gm. Krosno Odrzańskie";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";4;2;4;"KASPRZAK-NARUSZEWICZ Iwona";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";51;"Zielona Góra";"086201";"m. Zielona Góra";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";4;2;5;"SZLACHETKA Marek Ryszard";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";35;"Zielona Góra";"086201";"m. Zielona Góra";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";4;2;6;"WALCZAK Agnieszka Janina";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";48;"Zielona Góra";"086201";"m. Zielona Góra";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";4;2;7;"KUCZA Piotr Paweł";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";34;"Zielona Góra";"086201";"m. Zielona Góra";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";4;2;8;"MARSZAŁEK Maciej";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";34;"Zielona Góra";"086201";"m. Zielona Góra";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";4;3;1;"SIEMIŃSKI Tomasz";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";46;"Zielona Góra";"086201";"m. Zielona Góra";"popierany przez partię polityczną: Polska 2050 Szymona Hołowni";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";4;3;2;"DĄBROWSKI Arkadiusz Jan";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";42;"Zielona Góra";"086201";"m. Zielona Góra";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";4;3;3;"KAŁASZNIKOW Anatol";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";49;"Zielona Góra";"086201";"m. Zielona Góra";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";4;3;4;"DEC Magdalena Maria";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";45;"Karszyn";"080904";"gm. Kargowa";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";4;3;5;"KAPUSTA Bożena";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";58;"Nowogród Bobrzański";"080905";"gm. Nowogród Bobrzański";"popierana przez partię polityczną: Polska 2050 Szymona Hołowni";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";4;3;6;"BAWŁOWICZ Andrzej Mirosław";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";63;"Kaczenice";"080905";"gm. Nowogród Bobrzański";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";4;3;7;"DĄBROWSKA Irmina Zofia";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";48;"Karszyn";"080904";"gm. Kargowa";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";4;3;8;"KAMIŃSKI Marcin Andrzej";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";48;"Klenica";"080902";"gm. Bojadła";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";4;4;1;"NESTEROWICZ Tomasz Krzysztof";"KOALICYJNY KOMITET WYBORCZY LEWICA";"KKW LEWICA";50;"Zielona Góra";"086201";"m. Zielona Góra";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";4;4;2;"MILENKOVSKA Magdalena Sylwia";"KOALICYJNY KOMITET WYBORCZY LEWICA";"KKW LEWICA";40;"Zielona Góra";"086201";"m. Zielona Góra";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";4;4;3;"WITA Paweł";"KOALICYJNY KOMITET WYBORCZY LEWICA";"KKW LEWICA";34;"Sulechów";"080906";"gm. Sulechów";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";4;4;4;"BURDA Bogumiła";"KOALICYJNY KOMITET WYBORCZY LEWICA";"KKW LEWICA";65;"Zagórze";"080903";"gm. Czerwieńsk";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";4;4;5;"HAŁUSZCZAK Radosław Janusz";"KOALICYJNY KOMITET WYBORCZY LEWICA";"KKW LEWICA";27;"Zielona Góra";"086201";"m. Zielona Góra";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";4;4;6;"PRZYDRÓŻNA Natasza Agnieszka";"KOALICYJNY KOMITET WYBORCZY LEWICA";"KKW LEWICA";49;"Zielona Góra";"086201";"m. Zielona Góra";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";4;4;7;"SZABELSKA Dagmara Agnieszka";"KOALICYJNY KOMITET WYBORCZY LEWICA";"KKW LEWICA";42;"Zielona Góra";"086201";"m. Zielona Góra";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";4;4;8;"DAUKSZA Dominika Anna";"KOALICYJNY KOMITET WYBORCZY LEWICA";"KKW LEWICA";42;"Zielona Góra";"086201";"m. Zielona Góra";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";4;5;1;"CIEMNOCZOŁOWSKI Sebastian Sylwester";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"KKW KOALICJA OBYWATELSKA";47;"Zabór";"080909";"gm. Zabór";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";4;5;2;"MAKARSKA Alicja";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"KKW KOALICJA OBYWATELSKA";67;"Zielona Góra";"086201";"m. Zielona Góra";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";4;5;3;"KOTYLAK Sławomir Rafał";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"KKW KOALICJA OBYWATELSKA";48;"Zielona Góra";"086201";"m. Zielona Góra";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";4;5;4;"HOŁOŁUB Barbara Agnieszka";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"KKW KOALICJA OBYWATELSKA";45;"Zielona Góra";"086201";"m. Zielona Góra";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";4;5;5;"ADAMCZAK Dorota Ludmiła";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"KKW KOALICJA OBYWATELSKA";51;"Wilkanowo";"080907";"gm. Świdnica";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";4;5;6;"ZIEMIANIN Małgorzata Grażyna";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"KKW KOALICJA OBYWATELSKA";56;"Zielona Góra";"086201";"m. Zielona Góra";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";4;5;7;"OLEJNICZAK Kamil";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"KKW KOALICJA OBYWATELSKA";41;"Zagórze";"080903";"gm. Czerwieńsk";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";4;5;8;"ŁAZICKI Edwin";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"KKW KOALICJA OBYWATELSKA";77;"Sulechów";"080906";"gm. Sulechów";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";4;6;1;"ŚLADOWSKI Jerzy Zenon";"KOMITET WYBORCZY STOWARZYSZENIE „BEZPARTYJNI SAMORZĄDOWCY”";"KW STOWARZYSZENIE „BEZPARTYJNI SAMORZĄDOWCY”";65;"Lubsko";"081106";"gm. Lubsko";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";4;6;2;"RUDZIAK Marzena Edyta";"KOMITET WYBORCZY STOWARZYSZENIE „BEZPARTYJNI SAMORZĄDOWCY”";"KW STOWARZYSZENIE „BEZPARTYJNI SAMORZĄDOWCY”";58;"Lubsko";"081106";"gm. Lubsko";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";4;6;3;"ADOLIŃSKA Agnieszka Małgorzata";"KOMITET WYBORCZY STOWARZYSZENIE „BEZPARTYJNI SAMORZĄDOWCY”";"KW STOWARZYSZENIE „BEZPARTYJNI SAMORZĄDOWCY”";48;"Lubsko";"081106";"gm. Lubsko";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";4;6;4;"TYS Artur Robert";"KOMITET WYBORCZY STOWARZYSZENIE „BEZPARTYJNI SAMORZĄDOWCY”";"KW STOWARZYSZENIE „BEZPARTYJNI SAMORZĄDOWCY”";50;"Lubsko";"081106";"gm. Lubsko";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";4;6;5;"PASIK Jesica Magdalena";"KOMITET WYBORCZY STOWARZYSZENIE „BEZPARTYJNI SAMORZĄDOWCY”";"KW STOWARZYSZENIE „BEZPARTYJNI SAMORZĄDOWCY”";24;"Kolsko";"080403";"gm. Kolsko";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";4;6;6;"NIEDZIELSKI Mirosław Piotr";"KOMITET WYBORCZY STOWARZYSZENIE „BEZPARTYJNI SAMORZĄDOWCY”";"KW STOWARZYSZENIE „BEZPARTYJNI SAMORZĄDOWCY”";45;"Wełmice";"080202";"gm. Bobrowice";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";4;8;1;"WONTOR Tomasz Paweł";"KOMITET WYBORCZY STOWARZYSZENIA LEWICY DEMOKRATYCZNEJ";"KW SLD";54;"Zielona Góra";"086201";"m. Zielona Góra";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";4;8;2;"DROBEK Anna Agnieszka";"KOMITET WYBORCZY STOWARZYSZENIA LEWICY DEMOKRATYCZNEJ";"KW SLD";51;"Zielona Góra";"086201";"m. Zielona Góra";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";4;8;3;"RAU Emil";"KOMITET WYBORCZY STOWARZYSZENIA LEWICY DEMOKRATYCZNEJ";"KW SLD";47;"Zielona Góra";"086201";"m. Zielona Góra";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";4;8;4;"SZYDŁOWSKA Iwona";"KOMITET WYBORCZY STOWARZYSZENIA LEWICY DEMOKRATYCZNEJ";"KW SLD";47;"Kartno";"080902";"gm. Bojadła";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";4;8;5;"SOBOLEWSKI Sławomir";"KOMITET WYBORCZY STOWARZYSZENIA LEWICY DEMOKRATYCZNEJ";"KW SLD";41;"Nowogród Bobrzański";"080905";"gm. Nowogród Bobrzański";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";4;8;6;"ZAPAŁA Jagoda Barbara";"KOMITET WYBORCZY STOWARZYSZENIA LEWICY DEMOKRATYCZNEJ";"KW SLD";33;"Sulechów";"080906";"gm. Sulechów";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";4;8;7;"STABROWSKA Beata Maria";"KOMITET WYBORCZY STOWARZYSZENIA LEWICY DEMOKRATYCZNEJ";"KW SLD";52;"Zielona Góra";"086201";"m. Zielona Góra";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";4;8;8;"WUDARSKI Mariusz";"KOMITET WYBORCZY STOWARZYSZENIA LEWICY DEMOKRATYCZNEJ";"KW SLD";47;"Sulechów";"080906";"gm. Sulechów";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";5;1;1;"GOŚNIOWSKA-KOLA Małgorzata Barbara";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";60;"Przyczyna Górna";"081203";"gm. Wschowa";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";5;1;2;"WIECZOREK Andrzej Leszek";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";62;"Nowa Sól";"080401";"m. Nowa Sól";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";5;1;3;"GANCARZ Ewa Danuta";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";66;"Szprotawa";"081007";"gm. Szprotawa";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";5;1;4;"BALCERZAK Klaudiusz";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";80;"Lubiatów";"081201";"gm. Sława";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";5;1;5;"GALERCZYK Hanna";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";67;"Nowa Sól";"080401";"m. Nowa Sól";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";5;1;6;"SOWIŃSKI Krzysztof Jan";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";42;"Miodnica";"081009";"gm. Żagań";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";5;1;7;"ARTWIŃSKA Beata Czesława";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";51;"Lubięcin";"080405";"gm. Nowa Sól";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";5;1;8;"LUBAS Zdzisław";"KOMITET WYBORCZY PRAWO I SPRAWIEDLIWOŚĆ";"KW PRAWO I SPRAWIEDLIWOŚĆ";70;"Wymiarki";"081008";"gm. Wymiarki";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";5;2;1;"SYGUTOWSKI Marcin";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";34;"Brzeźnica";"081003";"gm. Brzeźnica";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";5;2;2;"SENSKA Wiktoria Maria";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";26;"Żagań";"081002";"m. Żagań";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";5;2;3;"KOŚCIELNY Maciej";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";34;"Modrzyca";"080407";"gm. Otyń";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";5;2;4;"WOJCIECHOWSKA Anna";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";48;"Zielona Góra";"086201";"m. Zielona Góra";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";5;2;5;"MASTERNAK Aleksander Marek";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";45;"Gola";"081202";"gm. Szlichtyngowa";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";5;2;6;"SUL Michał Marek";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";18;"Szprotawa";"081007";"gm. Szprotawa";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";5;2;7;"LEŚNIAK Oliwia";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";21;"Szprotawa";"081007";"gm. Szprotawa";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";5;2;8;"SZULIK Bartłomiej Mateusz";"KOMITET WYBORCZY WYBORCÓW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";"KWW KONFEDERACJA I BEZPARTYJNI SAMORZĄDOWCY";29;"Nowa Sól";"080401";"m. Nowa Sól";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";5;3;1;"POLAK Elżbieta Olga";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";65;"Zielona Góra";"086201";"m. Zielona Góra";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";5;3;2;"RUT Łukasz Maciej";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";41;"Nowa Sól";"080401";"m. Nowa Sól";"popierany przez partię polityczną: Polska 2050 Szymona Hołowni";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";5;3;3;"CHUDY Roman Edward";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";69;"Rejów";"080406";"gm. Nowe Miasteczko";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";5;3;4;"KOTECZKA Iwona Bogusława";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";54;"Stara Kopernia";"081009";"gm. Żagań";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";5;3;5;"WRÓBLEWSKI Jan";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";67;"Szprotawa";"081007";"gm. Szprotawa";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";5;3;6;"POPIN Arkadiusz Michał";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";50;"Żagań";"081002";"m. Żagań";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";5;3;7;"RADŁO Joanna Magdalena";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";39;"Kowalewo";"081202";"gm. Szlichtyngowa";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";5;3;8;"HOŁOWNIA Aneta Patrycja";"KOALICYJNY KOMITET WYBORCZY TRZECIA DROGA POLSKA 2050 SZYMONA HOŁOWNI - POLSKIE STRONNICTWO LUDOWE";"KKW TRZECIA DROGA PSL-PL2050 SZYMONA HOŁOWNI";42;"Małomice";"081005";"gm. Małomice";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";5;4;1;"PAŃTAK Kazimierz";"KOALICYJNY KOMITET WYBORCZY LEWICA";"KKW LEWICA";75;"Wilkanowo";"080907";"gm. Świdnica";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";5;4;2;"BĄK Monika";"KOALICYJNY KOMITET WYBORCZY LEWICA";"KKW LEWICA";43;"Wschowa";"081203";"gm. Wschowa";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";5;4;3;"ŻMUDA Ryszard Waldemar";"KOALICYJNY KOMITET WYBORCZY LEWICA";"KKW LEWICA";72;"Szprotawa";"081007";"gm. Szprotawa";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";5;4;4;"HNAT Ewa";"KOALICYJNY KOMITET WYBORCZY LEWICA";"KKW LEWICA";51;"Nowa Sól";"080401";"m. Nowa Sól";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";5;4;5;"GASPEROWICZ Sylwia Izabela";"KOALICYJNY KOMITET WYBORCZY LEWICA";"KKW LEWICA";53;"Żagań";"081002";"m. Żagań";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";5;4;6;"KROCHMAL Beata Jadwiga";"KOALICYJNY KOMITET WYBORCZY LEWICA";"KKW LEWICA";40;"Podbrzezie Dolne";"080404";"gm. Kożuchów";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";5;4;7;"SZUBIAK Maciej Jarosław";"KOALICYJNY KOMITET WYBORCZY LEWICA";"KKW LEWICA";65;"Lubogoszcz";"081201";"gm. Sława";"";;;;;"lubuskie";"080000";"Mężczyzna";
"Sejmik Województwa Lubuskiego";5;4;8;"KUZIO Anna Maria";"KOALICYJNY KOMITET WYBORCZY LEWICA";"KKW LEWICA";38;"Konin Żagański";"081004";"gm. Iłowa";"";;;;;"lubuskie";"080000";"Kobieta";
"Sejmik Województwa Lubuskiego";5;5;1;"POTĘGA Grzegorz Michał";"KOALICYJNY KOMITET WYBORCZY KOALICJA OBYWATELSKA";"KKW KOALICJA OBYWATELSKA";51;"Niedoradz";"080407";"gm. Otyń";"";;;;;"lubuskie";"080000";"Mężczyzna";
