"Województwo";"Powiat";"Gmina";"Wybierany organ";"Liczba kandydatów";"Mieszkańcy";"Wyborcy";"Siedziba TKW";"Opis granic";"TERYT Gminy";"Liczba wyborców w części B spisu wyborów";"Liczba wysłanych pakietów wyborczych"
"lubelskie";"zamojski";"gm. Adamów";"Wójt Gminy Adamów";4;4632;3802;"Adamów";"gm. Adamów";"062001";0;0
"lubelskie";"zamojski";"gm. Grabowiec";"Wójt Gminy Grabowiec";4;3768;3166;"Grabowiec";"gm. Grabowiec";"062002";1;0
"lubelskie";"zamojski";"gm. Komarów-Osada";"Wójt Gminy Komarów-Osada";2;4800;4001;"Komarów-Osada";"gm. Komarów-Osada";"062003";0;0
"lubelskie";"zamojski";"gm. Krasnobród";"Burmistrz Krasnobrodu";2;6899;5666;"Krasnobród";"gm. Krasnobród";"062004";0;0
"lubelskie";"zamojski";"gm. Łabunie";"Wójt Gminy Łabunie";3;6089;5007;"Łabunie";"gm. Łabunie";"062005";1;0
"lubelskie";"zamojski";"gm. Miączyn";"Wójt Gminy Miączyn";4;5330;4410;"Miączyn";"gm. Miączyn";"062006";0;1
"lubelskie";"zamojski";"gm. Nielisz";"Wójt Gminy Nielisz";3;5371;4484;"Nielisz";"gm. Nielisz";"062007";0;0
"lubelskie";"zamojski";"gm. Radecznica";"Wójt Gminy Radecznica";2;5091;4473;"Radecznica";"gm. Radecznica";"062008";0;1
"lubelskie";"zamojski";"gm. Sitno";"Wójt Gminy Sitno";2;6651;5368;"Sitno";"gm. Sitno";"062009";0;0
"lubelskie";"zamojski";"gm. Skierbieszów";"Wójt Gminy Skierbieszów";2;4894;4060;"Skierbieszów";"gm. Skierbieszów";"062010";0;0
"lubelskie";"zamojski";"gm. Stary Zamość";"Wójt Gminy Stary Zamość";2;5017;4139;"Stary Zamość";"gm. Stary Zamość";"062011";0;0
"lubelskie";"zamojski";"gm. Sułów";"Wójt Gminy Sułów";5;4183;3501;"Sułów";"gm. Sułów";"062012";1;0
"lubelskie";"zamojski";"gm. Szczebrzeszyn";"Burmistrz Szczebrzeszyna";5;10599;8804;"Szczebrzeszyn";"gm. Szczebrzeszyn";"062013";0;3
"lubelskie";"zamojski";"gm. Zamość";"Wójt Gminy Zamość";3;23789;19170;"Zamość";"gm. Zamość";"062014";2;4
"lubelskie";"zamojski";"gm. Zwierzyniec";"Burmistrz Zwierzyńca";4;6379;5354;"Zwierzyniec";"gm. Zwierzyniec";"062015";0;0
"lubelskie";"Biała Podlaska";"m. Biała Podlaska";"Prezydent Miasta Biała Podlaska";4;52896;43210;"Biała Podlaska";"m. Biała Podlaska";"066101";3;7
"lubelskie";"Chełm";"m. Chełm";"Prezydent Miasta Chełm";5;55248;47155;"Chełm";"m. Chełm";"066201";0;14
"lubelskie";"Lublin";"m. Lublin";"Prezydent Miasta Lublin";4;305046;250836;"Lublin";"m. Lublin";"066301";11;97
"lubelskie";"Zamość";"m. Zamość";"Prezydent Miasta Zamość";5;56738;48141;"Zamość";"m. Zamość";"066401";0;14
"lubuskie";"gorzowski";"m. Kostrzyn nad Odrą";"Burmistrz Miasta Kostrzyn nad Odrą";4;15994;12932;"Kostrzyn nad Odrą";"m. Kostrzyn nad Odrą";"080101";0;0
"lubuskie";"gorzowski";"gm. Bogdaniec";"Wójt Gminy Bogdaniec";3;6962;5481;"Bogdaniec";"gm. Bogdaniec";"080102";0;0
"lubuskie";"gorzowski";"gm. Deszczno";"Wójt Gminy Deszczno";3;10508;8151;"Deszczno";"gm. Deszczno";"080103";0;0
"lubuskie";"gorzowski";"gm. Kłodawa";"Wójt Gminy Kłodawa";2;9016;7035;"Kłodawa";"gm. Kłodawa";"080104";1;0
"lubuskie";"gorzowski";"gm. Lubiszyn";"Wójt Gminy Lubiszyn";2;6867;5468;"Lubiszyn";"gm. Lubiszyn";"080105";0;0
"lubuskie";"gorzowski";"gm. Santok";"Wójt Gminy Santok";2;9255;7180;"Santok";"gm. Santok";"080106";2;0
"lubuskie";"gorzowski";"gm. Witnica";"Burmistrz Miasta i Gminy Witnica";3;11940;9594;"Witnica";"gm. Witnica";"080107";1;0
"lubuskie";"krośnieński";"m. Gubin";"Burmistrz Miasta Gubina";2;14659;12200;"Gubin";"m. Gubin";"080201";0;0
"lubuskie";"krośnieński";"gm. Bobrowice";"Wójt Gminy Bobrowice";4;3062;2482;"Bobrowice";"gm. Bobrowice";"080202";0;0
"lubuskie";"krośnieński";"gm. Bytnica";"Wójt Gminy Bytnica";2;2348;1873;"Bytnica";"gm. Bytnica";"080203";0;0
"lubuskie";"krośnieński";"gm. Dąbie";"Wójt Gminy Dąbie";2;4812;3842;"Dąbie";"gm. Dąbie";"080204";1;0
"lubuskie";"krośnieński";"gm. Gubin";"Wójt Gminy Gubin";1;6977;5647;"Gubin";"gm. Gubin";"080205";2;0
"lubuskie";"krośnieński";"gm. Krosno Odrzańskie";"Burmistrz Krosna Odrzańskiego";1;16194;13266;"Krosno Odrzańskie";"gm. Krosno Odrzańskie";"080206";2;1
"lubuskie";"krośnieński";"gm. Maszewo";"Wójt Gminy Maszewo";2;2751;2214;"Maszewo";"gm. Maszewo";"080207";3;0
"lubuskie";"międzyrzecki";"gm. Bledzew";"Wójt Gminy Bledzew";2;4039;3272;"Bledzew";"gm. Bledzew";"080301";2;1
"lubuskie";"międzyrzecki";"gm. Międzyrzecz";"Burmistrz Międzyrzecza";5;22304;18534;"Międzyrzecz";"gm. Międzyrzecz";"080302";1;3
"lubuskie";"międzyrzecki";"gm. Przytoczna";"Wójt Gminy Przytoczna";2;5396;4209;"Przytoczna";"gm. Przytoczna";"080303";1;41
"lubuskie";"międzyrzecki";"gm. Pszczew";"Wójt Gminy Pszczew";3;4155;3310;"Pszczew";"gm. Pszczew";"080304";0;0
"lubuskie";"międzyrzecki";"gm. Skwierzyna";"Burmistrz Skwierzyny";3;11010;9089;"Skwierzyna";"gm. Skwierzyna";"080305";0;4
"lubuskie";"międzyrzecki";"gm. Trzciel";"Burmistrz Trzciela";4;6149;4965;"Trzciel";"gm. Trzciel";"080306";0;0
"lubuskie";"nowosolski";"m. Nowa Sól";"Prezydent Miasta Nowa Sól";4;33539;27986;"Nową Sól";"m. Nowa Sól";"080401";2;20
"lubuskie";"nowosolski";"gm. Bytom Odrzański";"Burmistrz Bytomia Odrzańskiego";3;5122;4125;"Bytom Odrzański";"gm. Bytom Odrzański";"080402";0;12
"lubuskie";"nowosolski";"gm. Kolsko";"Wójt Gminy Kolsko";2;3207;2612;"Kolsko";"gm. Kolsko";"080403";0;0
"lubuskie";"nowosolski";"gm. Kożuchów";"Burmistrz Kożuchowa";2;14592;11813;"Kożuchów";"gm. Kożuchów";"080404";0;4
"lubuskie";"nowosolski";"gm. Nowa Sól";"Wójt Gminy Nowa Sól";2;7094;5616;"Nowa Sól";"gm. Nowa Sól";"080405";0;0
"lubuskie";"nowosolski";"gm. Nowe Miasteczko";"Burmistrz Gminy i Miasta Nowe Miasteczko";3;5046;4034;"Nowe Miasteczko";"gm. Nowe Miasteczko";"080406";0;0
"lubuskie";"nowosolski";"gm. Otyń";"Burmistrz Otynia";2;7006;5565;"Otyń";"gm. Otyń";"080407";1;0
"lubuskie";"nowosolski";"gm. Siedlisko";"Wójt Gminy Siedlisko";2;3413;2693;"Siedlisko";"gm. Siedlisko";"080408";0;0
"lubuskie";"słubicki";"gm. Cybinka";"Burmistrz Cybinki";3;6122;4986;"Cybinka";"gm. Cybinka";"080501";0;0
"lubuskie";"słubicki";"gm. Górzyca";"Wójt Gminy Górzyca";1;4072;3225;"Górzyca";"gm. Górzyca";"080502";0;0
"lubuskie";"słubicki";"gm. Ośno Lubuskie";"Burmistrz Ośna Lubuskiego";1;6036;4819;"Ośno Lubuskie";"gm. Ośno Lubuskie";"080503";2;0
"lubuskie";"słubicki";"gm. Rzepin";"Burmistrz Rzepina";1;9211;7418;"Rzepin";"gm. Rzepin";"080504";2;0
"lubuskie";"słubicki";"gm. Słubice";"Burmistrz Słubic";4;18407;14784;"Słubice";"gm. Słubice";"080505";3;1
"lubuskie";"strzelecko-drezdenecki";"gm. Dobiegniew";"Burmistrz Dobiegniewa";4;6057;5005;"Dobiegniew";"gm. Dobiegniew";"080601";0;0
"lubuskie";"strzelecko-drezdenecki";"gm. Drezdenko";"Burmistrz Drezdenka";4;15830;12783;"Drezdenko";"gm. Drezdenko";"080602";0;4
"lubuskie";"strzelecko-drezdenecki";"gm. Stare Kurowo";"Wójt Gminy Stare Kurowo";2;3932;3100;"Stare Kurowo";"gm. Stare Kurowo";"080603";0;0
"lubuskie";"strzelecko-drezdenecki";"gm. Strzelce Krajeńskie";"Burmistrz Strzelec Krajeńskich";1;15613;12715;"Strzelce Krajeńskie";"gm. Strzelce Krajeńskie";"080604";1;1
"lubuskie";"strzelecko-drezdenecki";"gm. Zwierzyn";"Wójt Gminy Zwierzyn";2;4083;3257;"Zwierzyn";"gm. Zwierzyn";"080605";0;0
"lubuskie";"sulęciński";"gm. Krzeszyce";"Wójt Gminy Krzeszyce";5;4681;3667;"Krzeszyce";"gm. Krzeszyce";"080701";3;0
"lubuskie";"sulęciński";"gm. Lubniewice";"Burmistrz Lubniewic";2;2972;2443;"Lubniewice";"gm. Lubniewice";"080702";0;0
"lubuskie";"sulęciński";"gm. Słońsk";"Wójt Gminy Słońsk";2;4548;3654;"Słońsk";"gm. Słońsk";"080703";0;0
"lubuskie";"sulęciński";"gm. Sulęcin";"Burmistrz Sulęcina";2;14002;11383;"Sulęcin";"gm. Sulęcin";"080704";1;1
"lubuskie";"sulęciński";"gm. Torzym";"Burmistrz Miasta i Gminy Torzym";3;6228;4958;"Torzym";"gm. Torzym";"080705";4;0
"lubuskie";"świebodziński";"gm. Lubrza";"Wójt Gminy Lubrza";2;3560;2839;"Lubrza";"gm. Lubrza";"080801";1;0
"lubuskie";"świebodziński";"gm. Łagów";"Wójt Gminy Łagów";2;4710;3893;"Łagów";"gm. Łagów";"080802";1;1
"lubuskie";"świebodziński";"gm. Skąpe";"Wójt Gminy Skąpe";1;4839;3889;"Skąpe";"gm. Skąpe";"080803";0;0
"lubuskie";"świebodziński";"gm. Szczaniec";"Wójt Gminy Szczaniec";5;3651;2933;"Szczaniec";"gm. Szczaniec";"080804";1;0
"lubuskie";"świebodziński";"gm. Świebodzin";"Burmistrz Świebodzina";5;27212;21963;"Świebodzin";"gm. Świebodzin";"080805";1;18
"lubuskie";"świebodziński";"gm. Zbąszynek";"Burmistrz Zbąszynka";3;7849;6292;"Zbąszynek";"gm. Zbąszynek";"080806";0;0
"lubuskie";"zielonogórski";"gm. Babimost";"Burmistrz Babimostu";3;5859;4749;"Babimost";"gm. Babimost";"080901";0;0
"lubuskie";"zielonogórski";"gm. Bojadła";"Wójt Gminy Bojadła";5;3142;2546;"Bojadła";"gm. Bojadła";"080902";0;0
"lubuskie";"zielonogórski";"gm. Czerwieńsk";"Burmistrz Czerwieńska";2;9544;7613;"Czerwieńsk";"gm. Czerwieńsk";"080903";2;0
"lubuskie";"zielonogórski";"gm. Kargowa";"Burmistrz Kargowej";2;5649;4513;"Kargowa";"gm. Kargowa";"080904";0;0
"lubuskie";"zielonogórski";"gm. Nowogród Bobrzański";"Burmistrz Nowogrodu Bobrzańskiego";5;8682;7276;"Nowogród Bobrzański";"gm. Nowogród Bobrzański";"080905";0;0
"lubuskie";"zielonogórski";"gm. Sulechów";"Burmistrz Sulechowa";2;23936;19469;"Sulechów";"gm. Sulechów";"080906";0;2
"lubuskie";"zielonogórski";"gm. Świdnica";"Wójt Gminy Świdnica";2;6640;5383;"Świdnica";"gm. Świdnica";"080907";2;3
"lubuskie";"zielonogórski";"gm. Trzebiechów";"Wójt Gminy Trzebiechów";1;3147;2469;"Trzebiechów";"gm. Trzebiechów";"080908";0;0
"lubuskie";"zielonogórski";"gm. Zabór";"Wójt Gminy Zabór";4;4527;3588;"Zabór";"gm. Zabór";"080909";2;2
"lubuskie";"żagański";"m. Gozdnica";"Burmistrz Miasta Gozdnica";2;2704;2281;"Gozdnica";"m. Gozdnica";"081001";0;0
"lubuskie";"żagański";"m. Żagań";"Burmistrz Miasta Żagań";5;22085;18374;"Żagań";"m. Żagań";"081002";0;7
"lubuskie";"żagański";"gm. Brzeźnica";"Wójt Gminy Brzeźnica";5;3551;2829;"Brzeźnica";"gm. Brzeźnica";"081003";0;7
"lubuskie";"żagański";"gm. Iłowa";"Burmistrz Iłowej";1;6234;5159;"Iłowa";"gm. Iłowa";"081004";0;1
"lubuskie";"żagański";"gm. Małomice";"Burmistrz Małomic";2;4959;3992;"Małomice";"gm. Małomice";"081005";0;0
"lubuskie";"żagański";"gm. Niegosławice";"Wójt Gminy Niegosławice";4;4290;3392;"Niegosławice";"gm. Niegosławice";"081006";0;0
"lubuskie";"żagański";"gm. Szprotawa";"Burmistrz Szprotawy";3;18485;15316;"Szprotawa";"gm. Szprotawa";"081007";1;5
"lubuskie";"żagański";"gm. Wymiarki";"Wójt Gminy Wymiarki";2;2052;1704;"Wymiarki";"gm. Wymiarki";"081008";0;0
"lubuskie";"żagański";"gm. Żagań";"Wójt Gminy Żagań";2;7075;5643;"Żagań";"gm. Żagań";"081009";0;2
"lubuskie";"żarski";"m. Łęknica";"Burmistrz Łęknicy";2;2188;1784;"Łęknica";"m. Łęknica";"081101";1;0
"lubuskie";"żarski";"m. Żary";"Burmistrz Miasta Żary";4;32831;27087;"Żary";"m. Żary";"081102";0;10
"lubuskie";"żarski";"gm. Brody";"Burmistrz Brodów";2;3110;2514;"Brody";"gm. Brody";"081103";2;0
"lubuskie";"żarski";"gm. Jasień";"Burmistrz Jasienia";3;6435;5253;"Jasień";"gm. Jasień";"081104";0;0
"lubuskie";"żarski";"gm. Lipinki Łużyckie";"Wójt Gminy Lipinki Łużycie";1;3208;2542;"Lipinki Łużyckie";"gm. Lipinki Łużyckie";"081105";0;0
"lubuskie";"żarski";"gm. Lubsko";"Burmistrz Lubska";4;16683;13832;"Lubsko";"gm. Lubsko";"081106";1;2
"lubuskie";"żarski";"gm. Przewóz";"Wójt Gminy Przewóz";3;2971;2423;"Przewóz";"gm. Przewóz";"081107";2;26
"lubuskie";"żarski";"gm. Trzebiel";"Wójt Gminy Trzebiel";3;5403;4384;"Trzebiel";"gm. Trzebiel";"081108";0;0
"lubuskie";"żarski";"gm. Tuplice";"Wójt Gminy Tuplice";2;2826;2322;"Tuplice";"gm. Tuplice";"081109";1;0
"lubuskie";"żarski";"gm. Żary";"Wójt Gminy Żary";3;12003;9601;"Żary";"gm. Żary";"081110";0;0
"lubuskie";"wschowski";"gm. Sława";"Burmistrz Sławy";2;12090;9685;"Sława";"gm. Sława";"081201";0;0
"lubuskie";"wschowski";"gm. Szlichtyngowa";"Burmistrz Miasta i Gminy Szlichtyngowa";4;4894;3894;"Szlichtyngowa";"gm. Szlichtyngowa";"081202";2;0
"lubuskie";"wschowski";"gm. Wschowa";"Burmistrz Miasta i Gminy Wschowa";5;19288;15714;"Wschowa";"gm. Wschowa";"081203";0;6
"lubuskie";"Gorzów Wielkopolski";"m. Gorzów Wielkopolski";"Prezydent Miasta Gorzowa Wielkopolskiego";5;105589;87518;"Gorzów Wielkopolski";"m. Gorzów Wielkopolski";"086101";2;18
"lubuskie";"Zielona Góra";"m. Zielona Góra";"Prezydent Miasta Zielona Góra";5;127398;104048;"Zielona Góra";"m. Zielona Góra";"086201";4;23
"łódzkie";"bełchatowski";"m. Bełchatów";"Prezydent Miasta Bełchatowa";3;51513;42238;"Bełchatów";"m. Bełchatów";"100101";0;5
"łódzkie";"bełchatowski";"gm. Bełchatów";"Wójt Gminy Bełchatów";4;12605;9907;"Bełchatów";"gm. Bełchatów";"100102";1;0
"łódzkie";"bełchatowski";"gm. Drużbice";"Wójt Gminy Drużbice";2;5239;4217;"Drużbice";"gm. Drużbice";"100103";0;0
"łódzkie";"bełchatowski";"gm. Kleszczów";"Wójt Gminy Kleszczów";5;6833;5015;"Kleszczów";"gm. Kleszczów";"100104";1;1
"łódzkie";"bełchatowski";"gm. Kluki";"Wójt Gminy Kluki";2;4431;3584;"Kluki";"gm. Kluki";"100105";0;0
"łódzkie";"bełchatowski";"gm. Rusiec";"Wójt Gminy Rusiec";2;4918;4024;"Rusiec";"gm. Rusiec";"100106";0;0
"łódzkie";"bełchatowski";"gm. Szczerców";"Wójt Gminy Szczerców";2;8088;6505;"Szczerców";"gm. Szczerców";"100107";0;0
"łódzkie";"bełchatowski";"gm. Zelów";"Burmistrz Zelowa";4;14271;11512;"Zelów";"gm. Zelów";"100108";0;0
"łódzkie";"kutnowski";"m. Kutno";"Prezydent Miasta Kutno";4;39800;33647;"Kutno";"m. Kutno";"100201";2;5
"łódzkie";"kutnowski";"gm. Bedlno";"Wójt Gminy Bedlno";3;5129;4234;"Bedlno";"gm. Bedlno";"100202";0;0
"łódzkie";"kutnowski";"gm. Dąbrowice";"Burmistrz Miasta i Gminy Dąbrowice";2;1879;1543;"Dąbrowice";"gm. Dąbrowice";"100203";0;9
"łódzkie";"kutnowski";"gm. Krośniewice";"Burmistrz Krośniewic";3;7609;6307;"Krośniewice";"gm. Krośniewice";"100204";0;0
"łódzkie";"kutnowski";"gm. Krzyżanów";"Wójt Gminy Krzyżanów";3;4057;3343;"Krzyżanów";"gm. Krzyżanów";"100205";0;10
"łódzkie";"kutnowski";"gm. Kutno";"Wójt Gminy Kutno";5;8636;6997;"Kutno";"gm. Kutno";"100206";0;1
"łódzkie";"kutnowski";"gm. Łanięta";"Wójt Gminy Łanięta";4;2230;1791;"Łanięta";"gm. Łanięta";"100207";0;2
"łódzkie";"kutnowski";"gm. Nowe Ostrowy";"Wójt Gminy Nowe Ostrowy";2;3229;2712;"Nowe Ostrowy";"gm. Nowe Ostrowy";"100208";0;3
"łódzkie";"kutnowski";"gm. Oporów";"Wójt Gminy Oporów";2;2444;1980;"Oporów";"gm. Oporów";"100209";0;0
"łódzkie";"kutnowski";"gm. Strzelce";"Wójt Gminy Strzelce";2;3694;3048;"Strzelce";"gm. Strzelce";"100210";0;0
"łódzkie";"kutnowski";"gm. Żychlin";"Burmistrz Gminy Żychlin";5;10608;8894;"Żychlin";"gm. Żychlin";"100211";0;0
"łódzkie";"łaski";"gm. Buczek";"Wójt Gminy Buczek";1;5045;4053;"Buczek";"gm. Buczek";"100301";0;0
"łódzkie";"łaski";"gm. Łask";"Burmistrz Łasku";4;26094;21506;"Łask";"gm. Łask";"100302";0;5
"łódzkie";"łaski";"gm. Sędziejowice";"Wójt Gminy Sędziejowice";2;6225;5090;"Sędziejowice";"gm. Sędziejowice";"100303";0;0
"łódzkie";"łaski";"gm. Widawa";"Wójt Gminy Widawa";2;6995;5826;"Widawa";"gm. Widawa";"100304";0;0
"łódzkie";"łaski";"gm. Wodzierady";"Wójt Gminy Wodzierady";3;3591;2878;"Wodzierady";"gm. Wodzierady";"100305";0;0
"łódzkie";"łęczycki";"m. Łęczyca";"Burmistrz Miasta Łęczyca";5;12615;10573;"Łęczyca";"m. Łęczyca";"100401";0;5
"łódzkie";"łęczycki";"gm. Daszyna";"Wójt Gminy Daszyna";1;3722;3044;"Daszyna";"gm. Daszyna";"100402";2;0
"łódzkie";"łęczycki";"gm. Góra Świętej Małgorzaty";"Wójt Gminy Góra Świętej Małgorzaty";2;4295;3452;"Góra Świętej Małgorzaty";"gm. Góra Świętej Małgorzaty";"100403";1;0
"łódzkie";"łęczycki";"gm. Grabów";"Burmistrz Grabowa";2;5557;4579;"Grabów";"gm. Grabów";"100404";0;2
"łódzkie";"łęczycki";"gm. Łęczyca";"Wójt Gminy Łęczyca";3;8271;7064;"Łęczyca";"gm. Łęczyca";"100405";0;0
"łódzkie";"łęczycki";"gm. Piątek";"Burmistrz Piątku";3;5711;4690;"Piątek";"gm. Piątek";"100406";1;1
"łódzkie";"łęczycki";"gm. Świnice Warckie";"Wójt Gminy Świnice Warckie";2;3766;3109;"Świnice Warckie";"gm. Świnice Warckie";"100407";0;0
"łódzkie";"łęczycki";"gm. Witonia";"Wójt Gminy Witonia";2;3081;2564;"Witonia";"gm. Witonia";"100408";0;2
"łódzkie";"łowicki";"m. Łowicz";"Burmistrz Miasta Łowicza";4;25559;21383;"Łowicz";"m. Łowicz";"100501";1;0
"łódzkie";"łowicki";"gm. Bielawy";"Wójt Gminy Bielawy";4;5096;4267;"Bielawy";"gm. Bielawy";"100502";1;0
"łódzkie";"łowicki";"gm. Chąśno";"Wójt Gminy Chąśno";1;2910;2392;"Chąśno";"gm. Chąśno";"100503";0;0
"łódzkie";"łowicki";"gm. Domaniewice";"Wójt Gminy Domaniewice";2;4562;3620;"Domaniewice";"gm. Domaniewice";"100504";1;0
"łódzkie";"łowicki";"gm. Kiernozia";"Burmistrz Miasta i Gminy Kiernozia";4;3188;2651;"Kiernozia";"gm. Kiernozia";"100505";0;0
"łódzkie";"łowicki";"gm. Kocierzew Południowy";"Wójt Gminy Kocierzew Południowy";4;4067;3328;"Kocierzew Południowy";"gm. Kocierzew Południowy";"100506";0;0
"łódzkie";"łowicki";"gm. Łowicz";"Wójt Gminy Łowicz";3;7727;6178;"Łowicz";"gm. Łowicz";"100507";0;0
"łódzkie";"łowicki";"gm. Łyszkowice";"Wójt Gminy Łyszkowice";3;6403;5161;"Łyszkowice";"gm. Łyszkowice";"100508";0;0
"łódzkie";"łowicki";"gm. Nieborów";"Wójt Gminy Nieborów";1;9193;7396;"Nieborów";"gm. Nieborów";"100509";0;0
"łódzkie";"łowicki";"gm. Zduny";"Wójt Gminy Zduny";2;5279;4359;"Zduny";"gm. Zduny";"100510";0;0
"łódzkie";"łódzki wschodni";"gm. Andrespol";"Wójt Gminy Andrespol";2;14368;11496;"Andrespol";"gm. Andrespol";"100602";1;0
"łódzkie";"łódzki wschodni";"gm. Brójce";"Wójt Gminy Brójce";1;6922;5481;"Brójce";"gm. Brójce";"100603";0;0
"łódzkie";"łódzki wschodni";"gm. Koluszki";"Burmistrz Koluszek";1;22337;18240;"Koluszki";"gm. Koluszki";"100607";0;1
"łódzkie";"łódzki wschodni";"gm. Nowosolna";"Wójt Gminy Nowosolna";1;5360;4239;"Łódź";"gm. Nowosolna";"100608";0;0
"łódzkie";"łódzki wschodni";"gm. Rzgów";"Burmistrz Rzgowa";2;10648;8364;"Rzgów";"gm. Rzgów";"100610";0;0
"łódzkie";"łódzki wschodni";"gm. Tuszyn";"Burmistrz Miasta Tuszyna";4;12265;10080;"Tuszyn";"gm. Tuszyn";"100611";0;1
"łódzkie";"opoczyński";"gm. Białaczów";"Burmistrz Białaczowa";4;5624;4587;"Białaczów";"gm. Białaczów";"100701";1;0
"łódzkie";"opoczyński";"gm. Drzewica";"Burmistrz Drzewicy";2;10155;8255;"Drzewica";"gm. Drzewica";"100702";2;2
"łódzkie";"opoczyński";"gm. Mniszków";"Wójt Gminy Mniszków";3;4758;3784;"Mniszków";"gm. Mniszków";"100703";0;0
"łódzkie";"opoczyński";"gm. Opoczno";"Burmistrz Opoczna";4;32157;26153;"Opoczno";"gm. Opoczno";"100704";0;4
"łódzkie";"opoczyński";"gm. Paradyż";"Wójt Gminy Paradyż";3;4336;3410;"Paradyż";"gm. Paradyż";"100705";0;0
"łódzkie";"opoczyński";"gm. Poświętne";"Wójt Gminy Poświętne";2;3089;2523;"Poświętne";"gm. Poświętne";"100706";0;0
"łódzkie";"opoczyński";"gm. Sławno";"Wójt Gminy Sławno";2;7694;5960;"Sławno";"gm. Sławno";"100707";0;0
"łódzkie";"opoczyński";"gm. Żarnów";"Burmistrz Miasta i Gminy Żarnów";2;5767;4723;"Żarnów";"gm. Żarnów";"100708";0;0
"łódzkie";"pabianicki";"m. Konstantynów Łódzki";"Burmistrz Konstantynowa Łódzkiego";3;17955;14583;"Konstantynów Łódzki";"m. Konstantynów Łódzki";"100801";3;1
"łódzkie";"pabianicki";"m. Pabianice";"Prezydent Miasta Pabianic";5;55980;47298;"Pabianice";"m. Pabianice";"100802";0;6
"łódzkie";"pabianicki";"gm. Dłutów";"Wójt Gminy Dłutów";2;4753;3801;"Dłutów";"gm. Dłutów";"100803";0;0
"łódzkie";"pabianicki";"gm. Dobroń";"Wójt Gminy Dobroń";2;7735;6207;"Dobroń";"gm. Dobroń";"100804";0;0
"łódzkie";"pabianicki";"gm. Ksawerów";"Wójt Gminy Ksawerów";3;7476;6103;"Ksawerów";"gm. Ksawerów";"100805";0;0
"łódzkie";"pabianicki";"gm. Lutomiersk";"Burmistrz Miasta i Gminy Lutomiersk";4;8891;7161;"Lutomiersk";"gm. Lutomiersk";"100806";1;0
"łódzkie";"pabianicki";"gm. Pabianice";"Wójt Gminy Pabianice";1;8230;6319;"Pabianice";"gm. Pabianice";"100807";1;0
"łódzkie";"pajęczański";"gm. Działoszyn";"Burmistrz Miasta i Gminy Działoszyn";4;11661;9606;"Działoszyn";"gm. Działoszyn";"100901";0;14
"łódzkie";"pajęczański";"gm. Kiełczygłów";"Wójt Gminy Kiełczygłów";3;3858;3209;"Kiełczygłów";"gm. Kiełczygłów";"100902";0;0
"łódzkie";"pajęczański";"gm. Nowa Brzeźnica";"Wójt Gminy Nowa Brzeźnica";4;4358;3650;"Nowa Brzeźnica";"gm. Nowa Brzeźnica";"100903";1;0
"łódzkie";"pajęczański";"gm. Pajęczno";"Burmistrz Pajęczna";4;11098;9122;"Pajęczno";"gm. Pajęczno";"100904";0;0
"łódzkie";"pajęczański";"gm. Rząśnia";"Wójt Gminy Rząśnia";2;4977;3972;"Rząśnia";"gm. Rząśnia";"100905";0;1
"łódzkie";"pajęczański";"gm. Siemkowice";"Wójt Gminy Siemkowice";3;4716;3847;"Siemkowice";"gm. Siemkowice";"100906";0;0
"łódzkie";"pajęczański";"gm. Strzelce Wielkie";"Wójt Gminy Strzelce Wielkie";6;4357;3647;"Strzelce Wielkie";"gm. Strzelce Wielkie";"100907";0;2
"łódzkie";"pajęczański";"gm. Sulmierzyce";"Wójt Gminy Sulmierzyce";3;4357;3566;"Sulmierzyce";"gm. Sulmierzyce";"100908";0;0
"łódzkie";"piotrkowski";"gm. Aleksandrów";"Wójt Gminy Aleksandrów";2;4354;3550;"Aleksandrów";"gm. Aleksandrów";"101001";0;0
"łódzkie";"piotrkowski";"gm. Czarnocin";"Wójt Gminy Czarnocin";2;3980;3182;"Czarnocin";"gm. Czarnocin";"101002";0;0
"łódzkie";"piotrkowski";"gm. Gorzkowice";"Wójt Gminy Gorzkowice";2;8297;6700;"Gorzkowice";"gm. Gorzkowice";"101003";0;0
"łódzkie";"piotrkowski";"gm. Grabica";"Wójt Gminy Grabica";1;6069;4743;"Grabica";"gm. Grabica";"101004";0;0
"łódzkie";"piotrkowski";"gm. Łęki Szlacheckie";"Wójt Gminy Łęki Szlacheckie";3;3325;2739;"Łęki Szlacheckie";"gm. Łęki Szlacheckie";"101005";1;0
"łódzkie";"piotrkowski";"gm. Moszczenica";"Wójt Gminy Moszczenica";5;12584;10161;"Moszczenica";"gm. Moszczenica";"101006";0;1
"łódzkie";"piotrkowski";"gm. Ręczno";"Wójt Gminy Ręczno";3;3514;2833;"Ręczno";"gm. Ręczno";"101007";0;0
"łódzkie";"piotrkowski";"gm. Rozprza";"Burmistrz Rozprzy";4;12070;9552;"Rozprza";"gm. Rozprza";"101008";0;0
"łódzkie";"piotrkowski";"gm. Sulejów";"Burmistrz Sulejowa";2;16065;13010;"Sulejów";"gm. Sulejów";"101009";0;4
"łódzkie";"piotrkowski";"gm. Wola Krzysztoporska";"Wójt Gminy Wola Krzysztoporska";2;11792;9354;"Wola Krzysztoporska";"gm. Wola Krzysztoporska";"101010";0;0
"łódzkie";"piotrkowski";"gm. Wolbórz";"Burmistrz Wolborza";2;7752;6249;"Wolbórz";"gm. Wolbórz";"101011";1;0
